name,TE,WR,RB,QB,teamplace20,teamplace19,team21,pos21,gp_21,points21,owned22,projected22,actual21,passyd_21,passtds21,int21,runyds21,runtds21,run1st21,rec21,recyds21,rectds21,pass1st21,returnyds21,returntds21,twopoint21,fumble21,pick21,salary21,gp20,points20,owners21,project21,actual20,passyds20,passtd20,passint20,rushyds20,rushtd20,rush1st20,recepts20,recyds20,rectd20,rec1st20,returnyds20,returntd20,pt20,fumble20,pick20,salary20,gp19,points19,owners20,project20,actual19,passyds19,passtd19,passint19,rushyds19,rushtd19,rush1st19,recepts19,recyds19,rectd19,rec1st19,returnyds19,returntd19,pt19,fumble19,pick19,salary19
Latavius Murray,0,0,1,0,,,Bal,RB,14,139.10001,0%,336,215,0,0,0,501,6,36,10,75,0,2,0,0,0,0,98,3,15,168.33,56,115,145,0,0,0,656,4,36,23,176,1,8,0,0,0,0,185,1,16,188.37,66,-,123,0,0,0,637,5,38,34,235,1,9,0,0,0,0,123,11
James Proche II,0,1,0,0,,,Bal,WR,14,41.669998,1%,2306,388,0,0,0,0,0,0,16,202,0,10,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashod Bateman,0,1,0,0,,,Bal,WR,12,117.33,90%,67,244,0,0,0,0,0,0,46,515,1,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zack Moss,0,0,1,0,,,Buf,RB,13,134.63,2%,339,225,0,0,0,345,4,22,23,197,1,12,0,0,0,1,167,2,13,127.43,85,98,212,0,0,0,481,4,30,14,95,1,5,0,0,0,0,161,1,,,,,,,,,,,,,,,,,,,,,
Cole Beasley,0,1,0,0,13,,Buf,WR,16,172.2,1%,326,156,0,0,0,0,0,0,82,693,1,34,0,0,1,0,137,1,15,236.27,52,146,63,20,1,0,0,0,0,82,967,4,53,0,0,0,0,,,15,207.87,9,-,106,0,0,0,0,0,0,67,778,6,37,0,0,2,0,,
Stefon Diggs,0,1,0,0,13,,Buf,WR,17,330.67001,100%,10,20,0,0,0,0,0,0,103,1225,10,66,0,0,0,0,38,42,16,366.42999,100,10,14,0,0,0,1,0,0,127,1535,8,73,0,0,0,0,69,11,15,230.42999,96,-,82,0,0,0,61,0,3,63,1130,6,41,0,0,0,3,61,35
Dawson Knox,1,0,0,0,13,,Buf,TE,15,193.53,94%,89,123,0,0,0,4,0,0,49,587,9,31,0,0,1,0,,,12,77.199997,5,227,309,0,0,0,0,0,0,24,288,3,14,0,0,0,2,,,15,86.769997,9,-,285,0,0,0,9,0,1,28,388,2,15,0,0,0,0,,
Isaiah McKenzie,0,1,0,0,13,,Buf,WR,15,138.67,9%,198,216,0,0,0,47,1,4,20,178,1,13,731,0,0,1,,,16,128.78,0,1790,206,12,1,0,9,0,2,30,282,5,17,116,1,0,0,,,15,79.730003,0,-,300,0,0,0,49,0,4,27,254,1,12,69,0,0,0,,
Josh Allen,0,0,0,1,13,,Buf,QB,17,456.57999,100%,32,3,4407,36,15,763,6,54,0,0,0,0,0,0,3,3,16,52,16,420.66,100,41,3,4544,37,10,421,8,38,1,12,1,1,0,0,0,6,77,24,16,312.56,98,-,18,3089,20,9,510,9,42,0,0,0,0,0,0,3,4,129,12
Duke Johnson,0,0,1,0,13,,Buf,RB,5,78.730003,1%,324,304,0,0,0,330,3,18,4,41,0,3,0,0,0,0,,,11,95.099998,1,281,276,0,0,0,235,1,11,28,249,1,8,0,0,0,2,164,2,16,177.33,46,-,136,0,0,0,410,2,17,44,410,3,18,0,0,0,1,146,5
Gabriel Davis,0,1,0,0,13,,Buf,WR,16,148.60001,92%,61,198,0,0,0,0,0,0,35,549,6,29,0,0,0,0,,,16,157.92999,19,235,164,0,0,0,0,0,0,35,599,7,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jamison Crowder,0,1,0,0,13,,Buf,WR,12,121.8,9%,259,238,0,0,0,0,0,0,51,447,2,23,0,0,2,1,181,2,12,194.52,41,153,105,43,1,0,14,0,1,59,699,6,32,8,0,0,0,99,4,16,222.92999,61,-,90,0,0,0,4,0,0,78,833,6,41,0,0,0,0,171,2
Emmanuel Sanders,0,1,0,0,13,,Buf,WR,14,151.83,1%,262,188,0,0,0,31,0,2,42,626,4,31,0,0,0,0,,,14,184.60001,22,225,115,0,0,0,12,0,1,61,726,5,33,0,0,0,0,130,3,17,212.33,72,-,101,35,1,0,0,0,0,66,869,5,41,0,0,1,0,158,6
Tavon Austin,0,1,0,0,13,,Buf,WR,13,58.599998,0%,2411,345,0,0,0,21,0,1,24,213,1,11,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,14,59.900002,0,-,341,0,0,0,47,1,2,13,177,1,8,84,0,0,0,,
Devin Singletary,0,0,1,0,13,,Buf,RB,17,247.2,91%,58,73,0,0,0,870,7,44,40,228,1,11,0,0,0,0,171,3,16,178.63,75,110,127,0,0,0,687,2,40,38,269,0,8,0,0,0,1,103,16,12,183.42999,95,-,126,0,0,0,775,2,37,29,194,2,5,0,0,0,1,,
Baker Mayfield,0,0,0,1,,,Car,QB,14,192.53,11%,230,124,3010,17,13,134,1,12,0,11,0,0,0,0,2,3,71,19,16,265.42001,81,128,47,3563,26,8,165,1,18,1,6,0,1,0,0,1,4,125,18,16,238.17999,77,-,71,3827,22,21,141,3,15,0,0,0,0,0,0,1,2,29,36
Sam Darnold,0,0,0,1,,,Car,QB,12,178.28,3%,318,146,2527,9,13,222,5,21,0,0,0,0,0,0,1,4,164,2,12,143.02,28,197,182,2208,9,11,217,2,13,0,0,0,0,0,0,1,2,182,2,13,191.16,30,-,119,3024,19,13,62,2,6,0,0,0,0,0,0,3,3,32,20
Brandon Zylstra,0,1,0,0,,,Car,WR,13,52.669998,0%,2420,360,0,0,0,0,0,0,18,250,1,10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,0,1,0,0,,,Car,WR,17,273.13,98%,29,52,0,0,0,48,0,4,93,1157,4,60,22,0,1,1,93,11,15,233.73,96,45,66,0,0,0,22,0,1,66,1193,4,53,0,0,0,0,56,21,15,269.42999,99,-,44,0,0,0,40,0,3,87,1175,4,63,41,0,0,1,126,9
Christian McCaffrey,0,0,1,0,,,Car,RB,7,159.07001,100%,4,181,0,0,0,442,1,20,37,343,1,21,0,0,0,0,1,76,3,99.43,100,1,268,0,0,0,225,5,14,17,149,1,8,0,0,0,0,7,100,16,530.70001,100,-,1,0,0,0,1387,15,57,116,1005,4,58,0,0,1,0,6,66
Andre Roberts,0,1,0,0,,,Car,WR,16,117.13,0%,2551,245,0,0,0,19,0,0,1,35,0,1,1109,1,0,2,,,15,128.67,0,2429,207,0,0,0,-3,0,0,4,34,0,2,1247,0,0,2,,,13,94.730003,0,-,268,0,0,0,7,0,0,3,20,0,1,887,0,0,0,,
Chuba Hubbard,0,0,1,0,,,Car,RB,17,179.89999,8%,340,144,0,0,0,612,5,36,25,174,1,8,21,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Tremble,1,0,0,0,,,Car,TE,16,62.200001,1%,290,340,0,0,0,11,1,1,20,180,1,10,21,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashard Higgins,0,1,0,0,,,Car,WR,15,66.330002,0%,1887,332,0,0,0,0,0,0,24,275,1,16,0,0,0,0,,,13,134.92999,3,257,195,0,0,0,0,0,0,37,599,4,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
D'Onta Foreman,0,0,1,0,,,Car,RB,9,117.8,13%,154,243,0,0,0,566,3,22,9,123,0,6,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbie Anderson,0,1,0,0,,,Car,WR,17,159.2,11%,181,180,0,0,0,36,0,1,53,519,5,27,0,0,0,0,130,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James O'Shaughnessy,1,0,0,0,,,Chi,TE,7,52.27,0%,341,361,0,0,0,0,0,0,24,244,0,10,0,0,1,0,,,15,57.470001,0,1795,356,0,0,0,0,0,0,28,262,0,12,0,0,0,0,,,5,47.200001,0,-,366,0,0,0,0,0,0,14,153,2,7,0,0,0,0,,
Jimmy Graham,1,0,0,0,,,Chi,TE,15,61.130001,0%,350,342,0,0,0,0,0,0,14,167,3,10,0,0,1,0,,,16,176.39999,4,309,134,0,0,0,0,0,0,50,456,8,32,0,0,0,0,,,16,114.8,6,-,231,0,0,0,0,0,0,38,447,3,23,0,0,0,0,195,1
Byron Pringle,0,1,0,0,,,Chi,WR,17,211.97,1%,263,106,0,0,0,0,0,0,42,568,5,32,621,0,0,1,,,13,77.07,1,1820,310,0,0,0,0,0,0,13,160,1,9,324,1,0,0,,,16,42.43,0,-,385,0,0,0,0,0,0,12,170,1,7,41,0,0,0,,
Trevor Siemian,0,0,0,1,,,Chi,QB,6,92.160004,0%,349,282,1154,11,3,20,1,2,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Montgomery,0,0,1,0,,,Chi,RB,13,257.97,97%,35,65,0,0,1,849,7,55,42,301,0,18,0,0,0,1,63,26,15,322.20001,98,28,20,0,0,0,1070,8,59,54,438,2,25,0,0,1,1,141,17,16,211.23,95,-,103,0,0,0,889,6,50,25,185,1,7,0,0,0,2,52,23
Justin Fields,0,0,0,1,,,Chi,QB,12,148.8,66%,118,197,1870,7,10,420,2,22,0,0,0,0,0,0,0,5,152,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Kmet,1,0,0,0,,,Chi,TE,17,129.8,70%,122,233,0,0,0,0,0,0,60,612,0,29,0,0,0,0,196,1,16,69.900002,40,147,323,0,0,0,-3,0,0,28,243,2,12,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Tajae Sharpe,0,1,0,0,,,Chi,WR,15,54.330002,0%,2449,358,0,0,0,0,0,0,25,230,0,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15,98.93,0,-,261,0,0,0,0,0,0,25,329,4,20,0,0,0,0,,
Darnell Mooney,0,1,0,0,,,Chi,WR,17,244.53,89%,74,76,0,0,0,32,1,2,81,1055,4,49,10,0,0,0,170,5,16,173.57001,51,143,136,0,0,0,20,0,1,61,631,4,33,5,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
Khalil Herbert,0,0,1,0,,,Chi,RB,17,170.7,26%,141,163,0,0,0,433,2,24,14,96,0,6,650,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Griffin,1,0,0,0,,,Chi,TE,14,75.199997,0%,1889,310,0,0,0,0,0,0,27,261,2,14,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,13,116.33,1,-,225,0,0,0,0,0,0,34,320,5,19,0,0,1,0,,
Ja'Marr Chase,0,1,0,0,,,Cin,WR,17,340.10001,100%,8,18,0,0,0,21,0,2,81,1455,13,56,0,0,0,1,94,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow,0,0,0,1,,,Cin,QB,16,328.23999,99%,65,21,4611,34,14,118,2,14,0,0,0,0,0,0,1,2,34,23,10,181.72,90,104,121,2688,13,5,142,3,14,0,0,0,0,0,0,0,4,44,20,,,,,,,,,,,,,,,,,,,,,
Chris Evans,0,0,1,0,,,Cin,RB,14,63.57,3%,235,338,0,0,0,77,0,3,15,151,2,6,58,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaje Perine,0,0,1,0,,,Cin,RB,16,98.669998,3%,180,270,0,0,0,246,1,11,27,196,1,9,0,0,0,0,,,16,78.800003,1,1980,307,0,0,0,301,3,16,11,66,0,4,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Joe Mixon,0,0,1,0,,,Cin,RB,16,354.42999,100%,12,13,0,0,0,1205,13,60,42,314,3,11,0,0,0,1,13,40,6,116,99,15,230,0,0,0,428,3,20,21,138,1,5,0,0,0,1,18,36,16,281.82999,100,-,39,0,0,0,1137,5,56,35,287,3,14,0,0,0,0,58,39
Hayden Hurst,1,0,0,0,,,Cin,TE,13,73.730003,14%,187,318,0,0,0,0,0,0,26,221,3,11,0,0,0,1,,,16,177.07001,22,201,132,0,0,0,0,0,0,56,571,6,35,0,0,0,0,80,8,16,85.269997,90,-,291,0,0,0,0,0,0,30,349,2,16,0,0,0,0,,
Tee Higgins,0,1,0,0,,,Cin,WR,14,247.73,99%,23,72,0,0,0,0,0,0,74,1091,6,53,0,0,1,1,49,14,16,229.33,91,59,72,0,0,0,28,0,1,67,908,6,52,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Tyler Boyd,0,1,0,0,,,Cin,WR,16,204.34,52%,124,114,46,0,0,22,0,1,67,828,5,37,1,0,0,0,61,8,15,217.61,83,93,80,16,0,0,49,0,2,79,841,4,43,0,0,0,0,121,8,16,249.92999,92,-,58,0,0,0,23,0,1,90,1046,5,51,-1,0,0,2,121,18
Jacoby Brissett,0,0,0,1,,,Cle,QB,11,81.32,3%,303,299,1283,5,4,70,1,9,0,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,15,229.61,2,-,84,2942,18,6,228,4,20,1,2,0,0,0,0,1,5,,
Nick Chubb,0,0,1,0,,,Cle,RB,14,281.5,100%,17,45,0,0,0,1259,8,61,20,174,1,9,0,0,0,1,11,54,12,239.7,100,8,62,0,0,0,1067,12,55,16,150,0,6,0,0,0,1,16,36,16,304.92999,100,-,19,0,0,0,1494,8,62,36,278,0,13,0,0,0,3,25,46
Donovan Peoples-Jones,0,1,0,0,,,Cle,WR,14,131.3,5%,224,230,0,0,0,0,0,0,34,597,3,26,95,0,0,1,,,12,107.87,2,339,251,0,0,0,0,0,0,14,304,2,10,456,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,1,0,0,0,,,Cle,TE,16,116.77,58%,126,246,0,0,0,1,0,0,36,475,4,17,0,0,0,0,,,13,62.200001,2,1794,347,0,0,0,0,0,0,19,213,2,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,111,5
Anthony Schwartz,0,1,0,0,,,Cle,WR,14,73.099998,0%,2476,321,0,0,0,39,0,4,10,135,1,6,322,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Ernest Johnson,0,0,1,0,,,Cle,RB,17,144.42999,4%,202,209,0,0,0,534,3,24,19,137,0,7,139,0,0,0,,,16,63.93,0,2403,340,0,0,0,166,0,7,3,14,0,0,364,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Demetric Felton,0,0,1,0,,,Cle,RB,16,98.370003,0%,2482,271,0,0,0,24,0,0,18,181,2,10,399,0,0,0,105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,0,1,0,0,,,Cle,WR,15,234.67,93%,72,89,0,0,0,0,0,0,68,865,8,45,0,0,0,0,81,23,16,264.67001,97,35,48,0,0,0,14,0,1,92,1114,5,54,0,0,1,0,71,22,16,276.87,99,-,41,0,0,0,6,0,0,79,1189,8,54,0,0,0,0,47,28
Jakeem Grant Sr.,0,1,0,0,,,Cle,WR,15,130.89999,0%,2426,232,0,0,0,33,0,2,11,132,2,7,848,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Bryant,1,0,0,0,,,Cle,TE,16,74.529999,0%,1854,313,0,0,0,0,0,0,21,233,3,14,0,0,0,0,,,15,73.870003,1,1789,317,0,0,0,0,0,0,24,238,3,14,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,0,0,1,0,,,Cle,RB,8,136.2,88%,82,221,0,0,0,386,5,22,22,174,0,10,0,0,1,0,60,12,16,269.37,95,55,44,0,0,0,841,6,44,38,304,5,19,0,0,0,0,82,13,8,114.9,92,-,230,0,0,0,179,2,8,37,285,1,17,0,0,0,0,63,4
James Washington,0,1,0,0,,,Dal,WR,15,70.300003,2%,2045,329,0,0,0,13,0,1,24,285,2,9,0,0,0,0,,,16,115.13,2,250,231,0,0,0,0,0,0,30,392,5,19,0,0,0,0,,,15,146,18,-,170,0,0,0,0,0,0,44,735,3,31,0,0,0,1,122,6
Dalton Schultz,1,0,0,0,,,Dal,TE,17,240.87,98%,59,86,0,0,0,0,0,0,78,808,8,43,0,0,1,0,,,16,167,4,300,147,0,0,0,0,0,0,63,615,4,33,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
Tony Pollard,0,0,1,0,,,Dal,RB,15,248.27,88%,80,71,0,0,0,719,2,35,39,337,0,15,489,1,0,0,192,1,16,216.97,67,102,81,0,0,0,435,4,23,28,193,1,9,766,0,0,0,193,1,15,133.13,48,-,192,0,0,0,455,2,21,15,107,1,4,245,0,1,1,18,10
Ezekiel Elliott,0,0,1,0,,,Dal,RB,17,317.48999,99%,28,28,4,0,0,1002,10,55,47,287,2,16,0,0,3,1,15,60,15,286.42999,100,6,36,0,0,0,979,6,62,52,338,2,20,0,0,1,5,11,61,16,376.70001,100,-,4,0,0,0,1357,12,78,54,420,2,21,0,0,0,2,11,60
Michael Gallup,0,1,0,0,,,Dal,WR,9,103.67,44%,215,264,0,0,0,0,0,0,35,445,2,23,0,0,0,0,144,2,16,199.2,65,118,99,0,0,0,0,0,0,59,843,5,44,0,0,0,0,81,12,14,237.8,93,-,72,0,0,0,0,0,0,66,1107,6,50,0,0,0,0,194,1
CeeDee Lamb,0,1,0,0,,,Dal,WR,16,279.97,100%,14,47,0,0,0,76,0,4,79,1102,6,54,139,0,0,0,5,30,16,264.42999,97,29,49,0,0,0,82,1,4,74,935,5,46,219,1,1,1,129,6,,,,,,,,,,,,,,,,,,,,,
Dak Prescott,0,0,0,1,,,Dal,QB,16,327.56,95%,91,22,4449,37,10,146,1,7,0,0,0,0,0,0,3,6,69,33,5,140.27,99,58,188,1856,9,4,93,3,8,1,11,1,1,0,0,2,3,20,33,16,350.78,99,-,7,4902,30,11,277,3,19,0,0,0,0,0,0,1,2,108,20
Albert Okwuegbunam,1,0,0,0,,,Den,TE,14,84,82%,110,296,0,0,0,0,0,0,33,330,2,15,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Wilson,0,0,0,1,,,Den,QB,14,259.82001,96%,81,64,3113,25,6,183,2,17,0,0,0,0,0,0,1,1,40,45,16,380.78,99,67,10,4212,40,13,513,2,25,0,0,0,0,0,0,1,4,33,40,16,339.60001,100,-,9,4110,31,5,342,3,17,0,0,0,0,0,0,1,2,69,32
Javonte Williams,0,0,1,0,,,Den,RB,17,264.37,99%,25,62,0,0,0,903,4,52,43,316,3,12,0,0,0,1,136,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Patrick,0,1,0,0,,,Den,WR,16,181.92999,15%,2000,141,0,0,0,0,0,1,53,734,5,39,0,0,0,0,,,15,181.47,5,231,122,0,0,0,0,0,0,51,742,6,33,0,0,0,0,,,8,43.130001,0,-,381,0,0,0,0,0,0,16,218,0,14,-14,0,0,0,,
Josh Johnson,0,0,0,1,,,Den,QB,4,47.32,0%,2097,371,638,5,2,28,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendall Hinton,0,1,0,0,,,Den,WR,16,47.110001,0%,2412,374,1,0,0,0,0,0,15,175,1,10,24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,0,1,0,0,,,Den,WR,17,163.37,96%,53,170,16,0,0,0,0,0,58,776,2,35,0,0,1,0,156,3,,,,,,,,,,,,,,,,,,,,45,15,16,248.35001,97,-,62,38,0,0,17,0,1,72,1112,6,50,0,0,0,0,40,7
Jerry Jeudy,0,1,0,0,,,Den,WR,10,91.43,94%,63,284,0,0,0,3,0,0,38,467,0,22,0,0,0,0,75,8,16,174.07001,87,97,135,0,0,0,0,0,0,52,856,3,39,0,0,1,0,188,1,,,,,,,,,,,,,,,,,,,,,
Melvin Gordon III,0,0,1,0,,,Den,RB,16,249,87%,78,69,0,0,0,918,8,48,28,213,2,9,0,0,0,3,33,9,15,230.13,89,80,71,0,0,0,986,9,46,32,158,1,7,0,0,0,4,59,23,12,206.92999,98,-,110,0,0,0,612,8,39,42,296,1,11,0,0,0,3,2,23
Jamaal Williams,0,0,1,0,,,Det,RB,13,162.57001,35%,117,173,0,0,0,601,3,42,26,157,0,6,0,0,0,0,169,1,14,159.23,54,106,163,0,0,0,505,2,29,31,236,1,11,20,0,2,0,,,14,185.77,11,-,125,0,0,0,460,1,23,39,253,5,16,9,0,0,0,,
Kalif Raymond,0,1,0,0,,,Det,WR,16,174.8,1%,1847,151,0,0,0,28,0,2,48,576,4,28,236,0,0,0,,,15,76.470001,0,2369,311,0,0,0,-3,0,0,9,187,0,7,483,0,0,0,,,8,76.629997,0,-,308,0,0,0,-5,0,0,9,170,1,6,448,0,0,1,,
D'Andre Swift,0,0,1,0,,,Det,RB,13,243.83,100%,16,82,0,0,0,617,5,28,62,452,2,18,0,0,0,1,30,24,13,211.89999,97,38,89,0,0,0,521,8,31,46,357,2,15,0,0,0,2,96,2,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,0,1,0,0,,,Det,WR,17,256.89999,92%,66,66,0,0,0,61,1,2,90,912,5,48,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godwin Igwebuike,0,0,1,0,,,Det,RB,17,105.5,0%,2520,258,0,0,0,118,1,7,7,60,0,4,697,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintez Cephus,0,1,0,0,,,Det,WR,5,55.599998,0%,297,355,0,0,0,0,0,0,15,204,2,9,0,0,1,0,,,13,75.269997,3,338,313,0,0,0,0,0,0,20,349,2,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jared Goff,0,0,0,1,,,Det,QB,14,198.5,23%,152,118,3245,19,8,87,0,4,0,0,0,0,0,0,4,6,174,1,15,243.98,15,207,58,3952,20,13,99,4,12,0,0,0,0,0,0,1,4,140,17,16,248.52,67,-,63,4638,22,16,40,2,5,0,0,0,0,0,0,0,5,79,27
Craig Reynolds,0,0,1,0,,,Det,RB,5,47.470001,0%,1866,369,0,0,0,230,0,11,7,52,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Reynolds,0,1,0,0,,,Det,WR,12,92.400002,1%,292,281,0,0,0,0,0,0,29,396,2,21,0,0,0,0,,,16,138.7,5,226,191,0,0,0,5,0,0,52,618,2,31,0,0,0,1,,,16,70.029999,4,-,323,0,0,0,23,0,2,21,326,1,15,0,0,0,0,,
Brock Wright,1,0,0,0,,,Det,TE,10,41.799999,0%,1878,387,0,0,0,0,0,0,12,117,2,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Jackson,0,0,1,0,,,Det,RB,14,106.27,1%,1870,257,0,0,0,364,2,18,22,178,0,8,0,0,0,1,,,9,81.529999,3,275,300,0,0,0,270,0,15,19,173,0,7,0,0,1,0,,,7,50.169998,30,-,359,0,0,0,200,0,9,9,22,0,0,107,0,0,0,206,1
T.J. Hockenson,1,0,0,0,,,Det,TE,12,165.87,97%,84,167,0,0,0,0,0,0,61,583,4,32,0,0,1,0,35,17,16,203.2,99,51,97,0,0,0,0,0,0,67,723,6,40,0,0,1,1,158,1,12,91.470001,75,-,276,0,0,0,0,0,0,32,367,2,19,0,0,0,0,70,7
Aaron Rodgers,0,0,0,1,,,GB,QB,16,343.42999,94%,103,17,4115,37,4,101,3,10,1,-4,0,0,0,0,0,0,46,37,16,392.45999,98,82,8,4299,48,5,149,3,15,1,-6,0,0,0,0,0,2,95,20,16,285.38,94,-,35,4002,26,4,183,1,9,0,0,0,0,0,0,3,4,41,37
Josiah Deguara,1,0,0,0,,,GB,TE,16,66.330002,0%,1864,333,0,0,0,0,0,0,25,245,2,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall Cobb,0,1,0,0,,,GB,WR,12,112.1,4%,271,254,0,0,0,1,0,0,28,375,5,21,0,0,0,1,,,10,111.4,12,282,241,0,0,0,0,0,0,38,441,3,20,0,0,0,0,,,15,178.8,10,-,133,0,0,0,11,0,0,55,828,3,41,45,0,0,1,,
Robert Tonyan,1,0,0,0,,,GB,TE,8,57.599998,32%,159,348,0,0,0,0,0,0,18,204,2,10,0,0,0,0,116,5,16,212.07001,91,103,88,0,0,0,0,0,0,52,586,11,33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Amari Rodgers,0,1,0,0,,,GB,WR,16,47.599998,2%,2528,368,0,0,0,11,0,1,4,45,0,2,365,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,0,0,1,0,,,GB,RB,15,288.87,100%,11,41,0,0,0,799,4,37,52,391,6,22,19,0,0,1,31,49,14,300.07001,100,11,28,0,0,0,1104,9,52,47,355,2,15,0,0,0,0,50,32,16,346,100,-,8,0,0,0,1084,16,55,49,474,3,18,0,0,0,2,98,36
Sammy Watkins,0,1,0,0,,,GB,WR,13,76.269997,12%,229,308,0,0,0,0,0,0,27,394,1,17,0,0,0,1,,,10,104.37,15,253,257,0,0,1,3,0,0,37,421,2,27,0,0,0,1,196,1,14,153.07001,50,-,162,0,0,0,12,0,1,52,673,3,30,0,0,1,1,81,12
Marcedes Lewis,1,0,0,0,,,GB,TE,17,47.27,0%,1905,370,0,0,0,0,0,0,23,214,0,10,0,0,0,0,,,15,47.130001,0,1809,381,0,0,0,0,0,0,10,107,3,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
AJ Dillon,0,0,1,0,,,GB,RB,17,244.17,94%,47,77,0,0,0,803,5,50,34,313,2,15,0,0,0,1,132,2,11,47.599998,81,92,379,0,0,0,242,2,11,2,21,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Allen Lazard,0,1,0,0,,,GB,WR,15,171.39999,86%,98,159,0,0,0,32,0,2,40,513,8,28,0,0,0,0,,,10,112.77,9,217,236,0,0,0,17,0,1,33,451,3,23,0,0,0,0,156,7,16,117.9,27,-,219,0,0,0,21,0,1,35,477,3,24,0,0,0,0,,
David Johnson,0,0,1,0,,,Hou,RB,13,93.800003,1%,347,278,0,0,0,228,0,7,32,225,1,11,0,0,0,1,194,1,12,215.03,85,84,83,0,0,0,691,6,38,33,314,2,16,0,0,0,1,84,19,13,172.57001,94,-,142,0,0,0,345,2,20,36,370,4,17,24,0,0,1,1,52
Chris Conley,0,1,0,0,,,Hou,WR,16,73.830002,0%,1904,316,0,0,0,3,0,1,22,323,2,15,0,0,0,1,,,15,109.4,1,1776,245,0,0,0,0,0,0,40,471,2,24,0,0,0,1,,,16,176.67,2,-,137,0,0,0,0,0,0,47,775,5,36,0,0,1,0,,
Rex Burkhead,0,0,1,0,,,Hou,RB,16,137.10001,2%,221,219,0,0,0,427,3,30,25,186,0,9,0,0,0,0,,,10,130.2,1,307,203,0,0,0,274,3,18,25,192,3,11,0,0,0,0,,,13,113.8,2,-,235,0,0,0,302,3,18,27,279,0,10,0,0,0,1,,
